Time (s),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM)
6.74015589225522,0.0007918988538925167,0.0003679863374525834,0.0005859735236507048,3.271246939739362e-05,4.1935604889342815e-05,1.644999670325948e-06
12.772968765145988,0.003278587007470449,0.0031880635585929728,0.013982701327586063,0.002539822583116237,0.011165390687963895,0.0020585138949925537
20.32998590994128,0.006861767770873273,0.009337513809037691,0.06719733771366936,0.022773834149753595,0.1739375412320403,0.07132457862466474
29.63897724912639,0.009929235766403078,0.015580607174902329,0.13969925078153034,0.06999279210100692,0.6873378867190428,0.569117398832939
40.57361152382186,0.011939335714452397,0.01948547304296872,0.18602095884443678,0.11772708147885719,1.2654030018888942,1.9753173646031277
46.43695420830675,0.012830503403138797,0.02092955022200383,0.20048622363002339,0.13560319598493267,1.4757673201565769,2.921639907148068
56.6029371040314,0.014557728030038661,0.023449258057133115,0.2225076785479478,0.15916569337109637,1.7326996562074102,4.501645273814701
70.26954565413179,0.017419076267050897,0.027578816187791042,0.2579171158219996,0.18768259823766978,2.0300396348802643,6.261315497799271
89.21923315195133,0.021943765130745342,0.03430853407913781,0.3180423749860655,0.2326688202786198,2.508793545184999,8.234267255502479
112.84300710227393,0.027885618227158175,0.04321852630138382,0.39829561878491687,0.2947913163183088,3.155665781701427,10.347925413589918
150.0,0.037765433083608024,0.05797328573869064,0.5295185009748185,0.3968048619794642,4.153802717106857,13.076622759985304
