C2_AcCoA,C3_MalCoA,ACP,NADPH,NADH,FabD,FabH,FabG,FabZ,FabI,TesA,FabF,FabA,FabB,total_production,mean_chain_length
503.1432555273348,530.0814738529125,9.421584946466734,964.9725588454234,933.6584083536866,1.0601875873258533,1.012200063053987,1.051936060162797,1.076205808106755,1.074208887382386,9.805760842501279,1.0195388483912968,1.0141853379039607,1.072567566900271,41.399879032960506,13.378718261589663
496.69737841771746,515.9268308906546,9.317560199633775,1066.9139757563955,1015.1945003743499,0.9705799165084746,0.9526317840695671,0.9839348697635544,0.9538418543269682,1.0399076161261156,9.862316279312845,0.9230688795496259,1.080633312513551,1.0239662239957048,40.273190528894325,13.263222228499053
516.0105662610821,513.9584990423785,9.884387032253894,1029.1102924286572,1067.3903488652998,0.9394698801592837,1.0774904782800725,0.9259357451956662,0.9773352461779702,1.0536441018144493,9.379944415275968,1.0594641925497985,0.9647211254897229,1.0433137560881098,41.915084110882724,13.378819768330317
502.622502928826,405.69312109693163,11.138750262426516,912.4099717359944,981.793261981764,0.9855604858120598,0.9393487468729879,0.9887644144670615,0.9608608919600472,1.0316512116818013,9.5963746776543,0.9769373310333733,0.9398988618639406,0.9026360057037431,39.03545846436721,12.930879229660917
486.60826567097223,506.5157437266735,10.138770180616728,1052.0701099093344,936.5720191704844,0.9590962520729223,0.9743187338729596,1.0846352999290996,0.9299409913752898,0.9666442702774609,10.028568497915765,0.9597059646081452,0.9372648199920052,0.9874841634404448,41.346668834379194,13.190982456995357
509.0398763727371,499.3638670826864,10.3814594167503,946.2604252388373,923.3359761125087,0.9374700010385704,1.071170793754798,1.0804618431706832,1.0311296831802985,0.9835816317760288,9.033653725517112,1.00193783659358,0.9762102704413874,1.0004524949372815,42.61864594679648,13.282744886381629
532.6000011282534,496.3238623288417,10.106359173134319,991.1043026708685,965.9674142693032,1.0218768876113486,1.1244906056374064,0.9763456923856633,0.9473573386522987,1.0453265211626759,10.048998339848168,1.0225357399097388,1.0250180941217168,0.9491874935194234,42.59742115436101,13.175907767393472
523.677024078231,484.2355502507245,10.391491083054293,1033.4056710841946,1078.9771911084536,1.0399086153798902,0.9954136760539303,1.01540576001775,0.9657887578731367,0.9656286939059725,10.302970258595888,0.9886996503210784,0.9921748390094893,0.9999286015860063,41.385190682431855,13.10963346219846
482.4066191048252,501.38412437283887,9.328455674767524,985.007341970041,989.6130231233794,0.9724134291404439,0.9792882887161822,1.0306372870015323,1.047138646184735,0.9439325054241985,10.686634979080253,1.0330020168198821,0.9655359233148608,0.9869788884512496,39.9363687309058,13.249882548845692
468.3644632238487,510.30293512820833,9.784744014903708,1055.9472027808604,948.1028312971775,1.0261811461822443,0.8746434031509565,0.9260417423263099,1.0432606574903573,0.997811128368603,10.227847076779618,0.911695116915402,0.9445769244082836,0.9420016401776558,40.14187010201389,13.180696903852619
