C4_sat_frac,C6_sat_frac,C8_sat_frac,C10_sat_frac,C12_sat_frac,C14_sat_frac,C16_sat_frac,C18_sat_frac,C20_sat_frac,C4_unsat_frac,C6_unsat_frac,C8_unsat_frac,C10_unsat_frac,C12_unsat_frac,C14_unsat_frac,C16_unsat_frac,C18_unsat_frac,C20_unsat_frac
0.004099945047753104,0.0060979418540493555,0.05196015959759684,0.03082094949290607,0.23448456251946123,0.2622171984322736,0.14654942138759344,0.006539258784337907,0.0001899425394450969,0.0,0.0,0.0,0.0,0.07510928736209688,0.10664385151704545,0.05350119840008163,0.01769096306080887,0.004095320004550534
0.004430394876341465,0.006590978223294292,0.05590173529583799,0.03268668958063778,0.2417997281349433,0.25791870204638634,0.13327905297581177,0.005384721008440786,0.00013914148900769535,0.0,0.0,0.0,0.0,0.08144085469976987,0.11027590227748811,0.051488693068158474,0.015498662091609336,0.003164744232272794
0.004102799045496543,0.0061093006999403555,0.05205635405321642,0.03128745384477943,0.23692548456973161,0.2657945920776475,0.1498249707224494,0.006663136650769677,0.00019093273867628065,0.0,0.0,0.0,0.0,0.07137994413742299,0.10289806489351455,0.051763250085026837,0.017087961020264254,0.003915755461064197
0.005908089525092209,0.008739558238093427,0.07144997203513533,0.04443412923002479,0.2811015583074609,0.2622658542952984,0.11640277904116793,0.003824457079854968,7.607897740387893e-05,0.0,0.0,0.0,0.0,0.06969476689071594,0.08877063065788725,0.03650423121141499,0.009315049703929285,0.0015128448065207269
0.004715631616750147,0.007007824360129104,0.059050845199306916,0.03464497510892835,0.24772364371167693,0.2559222025057478,0.1272662290282285,0.004887854316868719,0.00011840985724264717,0.0,0.0,0.0,0.0,0.08251717780910783,0.10959640132971799,0.049476428840509366,0.014306733663053605,0.0027656426527320217
0.004444133569071137,0.00660751572231444,0.05585601412170047,0.033828431949059955,0.24674036098897956,0.26531116897166956,0.141940011161807,0.005955593520425731,0.000159610953245613,0.0,0.0,0.0,0.0,0.07161154812718998,0.10026905753925458,0.04860265958551648,0.01535438271239172,0.003319511077373891
0.004791330091213798,0.007122776692043662,0.05989196164625591,0.03657265642942968,0.2593079965407842,0.26717095256682183,0.1347683096215041,0.005266665779450485,0.00013005126863815264,0.0,0.0,0.0,0.0,0.07053798735494655,0.09514308669958875,0.04378092220954179,0.012949803880867429,0.0025654992189135884
0.005056949129592126,0.0075046281241710235,0.06271584541906759,0.037613788199846926,0.2593752035433317,0.25852398620310674,0.12408678809402425,0.004576442285544591,0.00010564154031624868,0.0,0.0,0.0,0.0,0.07814236868287266,0.10220331091730661,0.04508327529565799,0.012662516150229789,0.002349256414931715
0.004517389115117497,0.006716171188316052,0.05681729684993054,0.033441175319999114,0.24394369453014908,0.25773710773294095,0.13311020695728265,0.0054003000338425575,0.0001404658249062382,0.0,0.0,0.0,0.0,0.0802822780288598,0.10828256157851672,0.05084231653379249,0.015528511452020687,0.003240524854325632
0.0047364537569215,0.0070330021528027765,0.059255881046763416,0.03486183380282888,0.24989130606848883,0.2572554238356434,0.12685864935536062,0.004863881494480757,0.0001182260950603763,0.0,0.0,0.0,0.0,0.08218506878378713,0.10765724136024256,0.048508770808649924,0.014042230834710057,0.0027320306042597857
