Time (s),C4_FA (uM),C6_FA (uM),C8_FA (uM)
4.488169309176187,0.0002587728674188924,6.25692582876975e-05,0.0001629171100743802
9.555754575551958,0.0017790583446212387,0.0012723751078233807,0.026713933624364385
15.484450642248861,0.004248690102915775,0.004640139683765463,0.27423916404669124
20.654520445009602,0.006059185153948176,0.007744326801349053,0.7840426190712649
26.03889862521472,0.007396078823957418,0.010240973064012535,1.5360158366686725
30.60080394518392,0.008207272670063284,0.01176709907977314,2.2637756311513844
38.659335348032386,0.009284018826695313,0.013660651479435319,3.598738081501612
51.10176364849022,0.01075409071159458,0.015938586477771518,5.5959073283141265
70.1036917955604,0.013225224793447494,0.019602872775475715,8.468721457843214
104.00240312957955,0.018309343445100414,0.027165282752864686,13.25790559873813
150.0,0.026361794408174093,0.03914173743813519,19.129897782903537
