FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C4_FA (uM)_sigma,C6_FA (uM)_sigma,C8_FA (uM)_sigma
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,10.0,500.0,0.16094497986599063,0.202309806585044,69.64069144644908,0.02786872963163426,0.0364416944405614,5.680324353941999
1.0,0.1,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,10.0,500.0,0.03759950739928035,0.09121926793380133,24.332695146812455,0.01460542719902571,0.01683182869742149,2.4674517982444932
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,100.0,500.0,2.163808201784679,3.392777598843974,112.17083159032961,0.2322362443394821,0.3144561625810188,10.287044034357521
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,1.0,500.0,0.012630938408645577,0.006546617060232469,12.103899416498926,0.011241530818691711,0.01184825649209495,1.2830214519289684
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,50.0,500.0,1.1606230224516447,1.54538094149525,91.95859458228072,0.12457825981934266,0.1732572379009184,9.058593310299802
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,100.0,10.0,500.0,0.580914543586741,0.5379730333281825,22.49357456903271,0.05811548520564427,0.07622094887509505,2.3759923642707
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,50.0,10.0,500.0,0.5324948824175084,0.6773390359597694,13.575236834751504,0.06932104299727063,0.08154873048948312,1.3096654514495643
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,20.0,500.0,0.30183142939379004,0.622473070968102,82.96012738253967,0.050355356956277346,0.06923750990098125,7.220058443207323
1.0,1.0,1.0,1.0,1.0,10.0,10.0,1.0,1.0,500.0,10.0,500.0,0.03236673455869716,0.024555748279570414,33.51810525855283,0.01263601874599619,0.01393035063419365,3.193847341285002
1.0,1.0,1.0,1.0,1.0,50.0,1.0,1.0,1.0,500.0,10.0,500.0,0.840523698029937,1.418160496148054,43.73665443203465,0.09593986620641978,0.13444414859903628,5.3931857663465035
