Time (s),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C12_FA_unsat (uM)
11.463820829904058,6.025271245430531e-09,5.312629167653627e-09,2.0704384620001828e-08,1.43843195530539e-09,3.702630468035012e-08,6.5096130349435484e-09
18.236144394760846,1.3394562378226098e-08,1.718819491419772e-08,1.1598494030639879e-07,1.6598132256111876e-08,1.210469695764907e-06,2.8599961478814e-07
24.745559038529716,1.9268453756807322e-08,2.8881598268612042e-08,2.480483069028336e-07,5.3597344751820347e-08,7.2789051544246775e-06,2.0786473990592216e-06
31.05753077345783,2.310684003627928e-08,3.722632040893253e-08,3.575421126088623e-07,1.014664910596968e-07,2.180874992340007e-05,7.165146106905753e-06
40.39488861716676,2.6246483452725496e-08,4.430623361035811e-08,4.5430668328648045e-07,1.6792256758590365e-07,6.125732794313685e-05,2.36380795835589e-05
49.3645296133039,2.76582340432406e-08,4.750248608746352e-08,4.960632264209128e-07,2.1322835784722497e-07,0.00011547323830757704,5.006756889311401e-05
63.92860590656959,2.855978586922031e-08,4.950407511964461e-08,5.198213367681234e-07,2.520301766563826e-07,0.00022250494535090882,0.0001098704098086003
84.21174607823137,2.8892427284844023e-08,5.0216516685418475e-08,5.274600911405463e-07,2.697450908062158e-07,0.0003864672828960587,0.0002112496203232849
107.39567879141364,2.89676720042568e-08,5.037266369551524e-08,5.290741508454296e-07,2.741493314196406e-07,0.0005791384631383664,0.0003356101456008779
149.59959307824076,2.8983526187410468e-08,5.040502993621035e-08,5.2941108093305e-07,2.7509790530103524e-07,0.0009319712586024828,0.0005660761283388202
