Time (s),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C16_FA (uM),C18_FA (uM),C20_FA (uM),C12_FA_unsat (uM),C14_FA_unsat (uM),C16_FA_unsat (uM),C18_FA_unsat (uM),C20_FA_unsat (uM)
6.941541212202533,0.000853002125525722,0.00041302851641740533,0.0006950087926822341,1.720627585438206e-05,2.389336819962436e-05,5.128729616273613e-07,7.355431893050327e-09,4.722897135800624e-12,1.7397777752569573e-15,3.4271646630248416e-06,4.019307646816251e-08,3.5800597696095597e-10,1.1073546499105395e-12,2.420409466017834e-15
14.018964647966628,0.0038636398515681262,0.004060228569955837,0.01991951812649516,0.0017334003775318037,0.008646596493477194,0.000964004940982957,6.751096121385827e-05,2.1613839534448272e-07,3.714404023181402e-10,0.002056829994842923,0.00012510964192701435,5.0959216540204395e-06,8.060331910437711e-08,8.372629380247017e-10
22.073546239706456,0.007449686124970018,0.010498798543712178,0.07999807408841614,0.01320867616759615,0.10641640726866768,0.026605750163450327,0.0037094962198164806,2.4157921786967414e-05,8.158221328884938e-08,0.035110974763892765,0.004926713041704215,0.00040202588868575343,1.3759338244903947e-05,2.961263555856397e-07
31.089521538607563,0.01006315791029094,0.015927252202999655,0.14571892569577624,0.03675890026553283,0.3639377212204795,0.16062217086763106,0.03807719605530131,0.00042853393175996534,2.422928744006419e-06,0.1512158962414614,0.038792291057355315,0.0052716005760465295,0.0003204567267574113,1.2221862571663946e-05
37.791768850388046,0.011233963435972784,0.018337087000632975,0.1760603846680185,0.05459896425384399,0.5769119957635674,0.3505815183107483,0.11555108013096294,0.0018440895098889032,1.4485180091815046e-05,0.2720338861558142,0.09866935176973143,0.018214276341991728,0.0015650040659419798,8.479367259483374e-05
44.00056159977776,0.012042139967079476,0.019844885679735295,0.19353465185026875,0.06855227898338137,0.7448310012090981,0.5749908411985236,0.24244120068946828,0.005067251789407606,5.1554651776157854e-05,0.38610403939377635,0.18275178586661525,0.04256801069352682,0.0047550683750746245,0.00033544875704022485
52.96335556441383,0.013096933582269927,0.02154343245184725,0.21032261824706408,0.08394189957011351,0.9236306896445453,0.9286776734386735,0.5086314349182378,0.014267335334052512,0.00019399164697250264,0.5301088621492536,0.3425323950303785,0.10328709281083198,0.01542262892657184,0.0014499152814434159
65.4477750589545,0.014755102156683596,0.023941886760715722,0.23098898428120276,0.09927285109529299,1.0894537707169807,1.3913081498293787,0.9589966893980577,0.03516583292735215,0.0006290595893615416,0.6771355525074538,0.6025198897527777,0.23255345972144056,0.045859818088977225,0.005652201147689421
83.28701744931223,0.017731639918262484,0.028224702946375326,0.2677744668834029,0.11800452634844107,1.2844791742064985,1.932051863934271,1.5696194301361055,0.07106006263101283,0.001601758369700721,0.821446585732753,0.9711374897073387,0.46174169687243666,0.11619474212364614,0.01816874202521434
108.84459152440418,0.022805696571382206,0.0357071480091598,0.3339567904871415,0.1494266054844231,1.6121897195273156,2.580848836049249,2.2368089188943845,0.11408307313712358,0.003008491494909278,1.0042293631182908,1.4321933687385602,0.7787327297711555,0.2341871085630273,0.04399358204803216
149.31815332738924,0.03174426889425746,0.049004004958264465,0.4520238489841233,0.21136564908364042,2.2318486543553644,3.5728236435963674,2.9920574528496675,0.1548181796612101,0.004348658902311023,1.2999684430940033,2.0391033112817127,1.161371338867026,0.382883086578883,0.08037628830601334
