Time (s),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C12_FA_unsat (uM)
5.319069187575323,0.00042142457360281384,0.0001365205402260795,0.00013454439474775397,1.8228329168162324e-06,3.404642968981541e-06,4.0769211649965014e-07
12.931269552275229,0.003336118387165629,0.0032685098167679716,0.014497073379705605,0.0011127893033830109,0.016874501981026677,0.003649029933648196
19.369489248824063,0.006299058020295396,0.008250271388938043,0.0560901262672899,0.007740352269982638,0.1998148594738853,0.05786205112650607
27.302091361749227,0.008918853863234145,0.013429332225514129,0.11311888922267578,0.024036897534131893,0.9162848553776646,0.33777955947840954
36.598638727397166,0.010716699989285757,0.016938247739453315,0.15414835800246324,0.04436811280717779,2.2837831794491668,1.0415735420829169
44.51148681563006,0.011948893943561766,0.018937347082871175,0.17426806637597292,0.058363743993153736,3.458350439623991,1.8145590858899854
54.213634970374585,0.013705078142688069,0.021464209086058162,0.19601791348044453,0.07225355477122751,4.609673590449102,2.717714059661843
66.52127534782544,0.01648394832726124,0.025490320508152718,0.23072061987445894,0.08910043328994564,5.735634401140791,3.6282184796852595
83.53205605984125,0.02076765487476431,0.031929211546000286,0.2890994399794788,0.11623719971247719,7.166348535476628,4.598565366511465
113.32421575069925,0.028473677116405416,0.04354790877842907,0.39476234305529306,0.17178538991417863,9.61318224278851,5.972180956494433
150.0,0.038499037605587136,0.058547628941454224,0.5286872565469837,0.24655597191128145,12.239138555434982,7.224737809955094
