Time (s),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C16_FA (uM),C12_FA_unsat (uM),C14_FA_unsat (uM),C16_FA_unsat (uM)
5.5985858316346375,0.0004853196914169318,0.00017073313947512186,0.0001876601868170054,2.873477803819359e-06,2.3398447833422483e-06,2.6612794340623585e-08,2.6848875726339855e-10,2.9364322448996184e-07,1.8514510621840046e-09,1.51533635974614e-11
10.645441952673513,0.0022789108150399573,0.0018523485118245005,0.0063150004289587915,0.00035262235870568747,0.0011573465536291344,7.278822425047777e-05,3.847321658709963e-06,0.00022455486223380166,7.64981795876491e-06,3.1558512068347434e-07
19.054544786167412,0.006217836183221416,0.008111835800659379,0.054863442070164005,0.0074334548912429336,0.05268598614441715,0.010262844647364874,0.0013543376985438327,0.015672171458677085,0.00169417718310324,0.00017491138003305972
24.86728813408298,0.008424976423069355,0.012483870271087633,0.1029162540382396,0.019820062628792996,0.173990048828149,0.05305725453245082,0.010095669931271044,0.06229751974520059,0.01077763611600001,0.0016223618032643519
30.563779292184318,0.00994814130556365,0.01568433669386076,0.14261365925227026,0.035273822908328256,0.346608898773651,0.1487370015780975,0.03864105858562026,0.14238576303392134,0.03544683309913891,0.007375857130269349
39.15783620846023,0.011422749951249898,0.018704030005141693,0.18044471537120388,0.05783752028194049,0.6159061278181235,0.3963375902785276,0.15363277365383177,0.2969114590097546,0.11471878494617882,0.036147194287822024
47.18498399488794,0.012411945247606413,0.020466941005352617,0.19995340158730723,0.07445544807554967,0.8142960951766816,0.697883140346583,0.3586777964847125,0.43939918576037584,0.23460667653214312,0.09880267366063203
60.288824211351375,0.014028160399227524,0.02289221411362892,0.2219078203719251,0.09321264522802232,1.024656238571218,1.2050440771855127,0.8345084638500319,0.6205492898081054,0.4913570824146884,0.2818286489257946
80.08115937498503,0.01719807391323916,0.027429599502841115,0.260600837693266,0.11431115743465771,1.2453812902343278,1.8394760029193957,1.5809748761273088,0.7951546151347864,0.9054572030853594,0.6616540556692905
103.46969648666047,0.021817500308038022,0.03422285289945584,0.32052635590842465,0.14239820549248994,1.5392894057686026,2.4495747083076984,2.2642429400651394,0.9644164165236763,1.3409448017492291,1.0982599108464093
150.0,0.03213072774169603,0.04957718231243986,0.4570559204931375,0.21380100869112448,2.256518409302759,3.609862325564999,3.2025252277965452,1.3097911717507797,2.056186793438195,1.7215713878866243
