Time (s),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C16_FA (uM)
5.074727832443385,0.00036933996747497524,0.0001106760401918571,9.841218253689697e-05,2.802758829762828e-06,1.7223819738440683e-06,1.4188361313530483e-08,1.0545830172927531e-10
9.476282027217744,0.0017793485697801211,0.001275730287908589,0.0036557172366018967,0.0004034959134672203,0.0010711773883514523,5.105159942104383e-05,2.0896721652377217e-06
15.236214154067888,0.004487544714036305,0.005059693087034659,0.02747834342203157,0.0064512833286624275,0.036134602291331336,0.004702080551894753,0.0004380706141469822
19.947876174072846,0.006703681277212306,0.009034431177934371,0.0640733317857886,0.021243443532016,0.15956426066568802,0.03363368352897585,0.004498456867136914
28.01200151053197,0.009552167123633885,0.014809661727689188,0.13049144592186768,0.062182565473966764,0.5957582896656285,0.22533087597032872,0.05031827984066589
38.64581858849213,0.011704095372616519,0.01915295076683387,0.18368893473314396,0.11345957702667996,1.2153537163818318,0.8018175910230523,0.31747161566391086
49.03475438847821,0.013225212093750605,0.021699471464878932,0.2100734243485567,0.14639536639749287,1.602929744911834,1.5359037131681728,0.874131537628475
71.2855228404392,0.017121323402648117,0.027350649152497,0.25896401343682646,0.19195395265304385,2.079374255883519,2.9264651129284474,2.380896864513879
97.12859798123756,0.022925106281666722,0.03590710537935723,0.3346119399984291,0.24846270024127382,2.6712509908147024,4.189552015536371,3.7692426128048204
150.0,0.036310762986570794,0.0558744827026192,0.5122544566470142,0.3850925037111775,4.026010921760079,6.454420101068712,5.56012241510228
