Time (s),C4_FA (uM),C6_FA (uM)
4.449537704891624,0.00025025630346832737,0.0003148421033019057
10.165820207209876,0.0019127887314161459,0.01841851273202726
15.22145670288466,0.003778473949430011,0.08338092225805684
21.44546668344537,0.005621353274845276,0.23541976233713352
28.68163198921259,0.006954191155517772,0.48138009337392346
34.517306207656006,0.007588274555966337,0.7083481306403389
42.12338806438862,0.00810071599559075,1.0205751585864613
52.61791542312794,0.008559868255861603,1.461609559838873
67.98148995665478,0.009095009042809262,2.11083512498739
103.89323271450294,0.010318388071709173,3.625259888321938
150.0,0.011988980234469716,5.559879688519182
