Time (s),C4_FA (uM),C6_FA (uM),C8_FA (uM)
4.660187357448669,0.0002889429367742741,7.471421836984538e-05,0.00021916981139222518
9.596279669708187,0.001795129772148229,0.0012897888994423679,0.027350380639933614
15.495979159913858,0.0042532862239519345,0.0046474619662146555,0.27507296758905425
20.101411133647325,0.00589131415812256,0.0074402862810266784,0.7176249427018007
26.189015239990077,0.007426641840685022,0.010298902874196464,1.559054363276658
33.68672879087292,0.008654257774320632,0.012579696076442094,2.773943986923904
45.31532071520669,0.010066302919494221,0.0149009414427675,4.681369959893161
62.75447292369628,0.012230885753883682,0.018128162957152232,7.37665453697164
93.4283940425818,0.016641738752666266,0.024684143439998495,11.806891301097172
150.0,0.026361794684313725,0.03914173774784172,19.129897705719006
