FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C4_FA (uM)_sigma,C6_FA (uM)_sigma,C8_FA (uM)_sigma,C10_FA (uM)_sigma,C12_FA (uM)_sigma
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,10.0,500.0,0.2658516023197995,0.27782590242312516,3.231103290870516,1.9259682220437164,47.88075292771924,0.0318845494805799,0.0424881468130127,0.28235206241990424,0.21177497649496033,4.273064217497557
1.0,0.1,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,10.0,500.0,0.04372138323291676,0.0727382099262619,0.6494039009129915,0.5257018699430568,17.57854518341759,0.01472796108691052,0.01702551102334275,0.07167856707323904,0.05769177038572134,1.9551649289625186
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,1.0,500.0,0.04846280692954454,0.019485957019146218,0.1439368372951269,0.17160113049603432,12.917521678405848,0.01205433342544838,0.013087605697809911,0.03754329744061908,0.0312468342247837,1.4832823649969589
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,100.0,500.0,2.185412775757272,2.836999103687088,14.727988460650359,7.910887619714715,67.32579543359572,0.23595210252525486,0.3193930913571625,1.5995575842359668,1.030113592668526,5.423949118586124
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,50.0,500.0,1.233719923908646,1.732553106380404,9.118196214916873,8.189877696098447,42.253584007696276,0.1319371042480429,0.1830907457237634,1.0903875347394374,0.7046758633156471,5.3472299252974045
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,100.0,10.0,500.0,0.48445233012184125,0.7678871472251511,3.4730150236113047,2.0741720816055675,12.964924095508396,0.05887158256867782,0.075126096122486,0.334410829762551,0.21791375255159207,1.2328699607606493
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,20.0,500.0,0.47753767760090315,0.6769167739293014,5.30231589372879,3.7211775988148243,54.24046980858305,0.05607716579490695,0.07764339571921082,0.5317659381678727,0.3777237690914905,4.895200040400712
1.0,1.0,1.0,1.0,1.0,10.0,10.0,1.0,1.0,500.0,10.0,500.0,0.014246882285068135,0.029559120359371888,0.3322379211432615,0.2517297544940834,25.845185146148413,0.01276262789704909,0.01410648795720878,0.0424056406742702,0.034759326166017325,2.579904161483215
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,50.0,10.0,500.0,0.4312361081330043,0.5769769930058692,2.3221687181181903,1.8752361298678832,4.953251259137836,0.06505706495128183,0.07412432032997632,0.24265499353151776,0.19052207789455985,0.5671165322971029
1.0,1.0,1.0,1.0,1.0,50.0,1.0,1.0,1.0,500.0,10.0,500.0,0.8345909744452079,1.144076143465432,8.331571751808095,5.559148364974161,32.43151206922935,0.08967031619993446,0.12534976014767837,0.8134465069474215,0.533157584862954,2.957563022379883
