Time (s),C16 Equivalents (uM),C16 Equivalents (uM)_sigma
5.219029755416978,0.016031818771073496,0.010021330047692534
9.24672885948332,0.029999008568886716,0.010477093132984457
16.177988801941783,0.15127390720858788,0.0255704534513492
26.81192894457945,1.4949199797481785,0.16247782080917442
37.74537249534436,4.318358631362328,0.40729414486704224
63.8050451544057,8.174025291771649,0.8140017126691661
110.94235606349622,12.695720987320485,1.334993580409185
217.34006171112992,19.17710671723042,2.0864939392175805
368.56703123521993,29.024460612515497,2.716154474964005
720.0,36.97261664872553,3.487237747067494
