Time (s),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C16_FA (uM),C18_FA (uM)
5.651323813834327,0.000497906598749083,0.00017778435224193482,0.00019929732371182593,7.414125653992611e-06,6.105053977331383e-06,7.045502894918872e-08,5.307839893280832e-10,2.2660956716251225e-13
12.981170606866332,0.0033796753835777637,0.003334717563552069,0.01493399939371973,0.0027803377152199075,0.012518869665783916,0.0011929840766507606,7.167658442831486e-05,2.2432322794472215e-07
19.86473799236246,0.006667521140696147,0.00896507388901879,0.06335897333097042,0.020903059028245262,0.15640599959140805,0.03272984214338825,0.00378841529519079,2.2154243060791202e-05
28.090272041629017,0.009574896263511757,0.014857354680321002,0.13109245805016465,0.06263945434706948,0.6010983358358539,0.2284315595147436,0.045734229349573635,0.00045868117468786103
34.70835837786641,0.011045487985548628,0.017885620063394954,0.16867306929396805,0.09661412662729978,1.0092672991909621,0.5540624739899909,0.16376802415100283,0.0024479397137860594
40.721428478546365,0.0120278615631911,0.019741533205158833,0.190384954355457,0.12150114345498517,1.3135231393213147,0.9451874627022426,0.37118157470793783,0.007501024482149849
50.02161736737473,0.013383554925396949,0.021944875118210264,0.21246393413608872,0.14918702824182212,1.635057913454788,1.6101968682776855,0.8613003652803504,0.02437213374079345
61.81838181365148,0.015313193358704942,0.024754203159232935,0.2368693960281357,0.17419588381257195,1.898335553239725,2.392240698178145,1.61768327419983,0.05970441883271526
78.37014639441873,0.018629331565422718,0.029557774018555118,0.27839421373303813,0.20678058474542957,2.234962446625043,3.3008846701526666,2.6179107703187166,0.11819598798474379
107.13125970511916,0.02534538823660894,0.03951905510128195,0.3669992125373166,0.27327370215487834,2.927412144353085,4.645505578705055,3.9277995439121356,0.20073602888101835
149.76099110529802,0.036247295091012495,0.05577931757034939,0.5114603583444283,0.38461360063752376,4.020866494882657,6.437935992806933,5.234441939310075,0.26852683034137753
