Time (s),C4_FA (uM),C6_FA (uM)
4.409803953871467,0.00024374244309960253,0.0002990575281591165
8.10986785249423,0.0011889683912690745,0.006897528970701364
13.89142717053845,0.003303528975718145,0.060880020722379434
19.544487822169167,0.0051317643771018355,0.18162762959884443
23.782707179449865,0.006137197924348868,0.30867582137178085
30.10168727660434,0.0071364615499017806,0.5349922107832784
36.09524204587571,0.00771654075773438,0.7720778683806344
48.58270735737458,0.008401238096045658,1.2914401152189487
67.75857250356023,0.00908751497381666,2.1014161540772305
91.4700094831678,0.009888610513845947,3.1020726637784217
150.0,0.011988980188239726,5.559879689526724
