Time (s),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C12_FA_unsat (uM)
6.44749119297585,0.0007064903631457951,0.000307997052785123,0.0004503200466704359,9.508938411931345e-06,3.1731275950520814e-05,4.241528502358159e-06
13.946534942473484,0.003821831760988166,0.00399400811339059,0.019435903819960035,0.0016765702461941042,0.028468227970655964,0.00650496873488077
20.947010518183042,0.006928253439868973,0.009448338334867714,0.06831936090929429,0.010461609707625847,0.2954985927343861,0.09044316197184422
29.362964564892923,0.009400307889947598,0.0144059482367858,0.12470732586719714,0.028767035209139157,1.1884719821563374,0.46141306419003836
39.51719733894773,0.011169686811793809,0.017716166901990602,0.1624420060189274,0.04991167885734756,2.735249146732781,1.3196864981847856
45.748543160025584,0.012151078306180231,0.01923729313610367,0.17697550901576403,0.06028304070543085,3.6241199864462725,1.9365912348166776
55.870188229209155,0.014046966372403087,0.021951334836087317,0.20012596227594012,0.07447346168277454,4.776428976765603,2.8558175804658372
69.06173447146483,0.017107722966340982,0.02641536025865035,0.23894931701416589,0.0928231080297741,5.950066671075176,3.788273952392454
87.4707590835825,0.021773683987453978,0.03345402446166025,0.3030879896546437,0.12316341552353806,7.4995236432331795,4.799668828298755
113.74513795088936,0.02858516895238927,0.04371500288437535,0.39626472960327946,0.17260829262240132,9.645808633394703,5.989142117558686
150.0,0.03849903773749523,0.05854762938175855,0.5286872633606656,0.2465559748184099,12.239138594340583,7.224737758567167
