Time (s),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C12_FA_unsat (uM),C14_FA_unsat (uM)
5.674437373715854,0.0005034392547433867,0.00018091111900986914,0.00020452790892830873,3.232430098983192e-06,2.72705110246555e-06,6.316797391664592e-08,3.449251618432796e-07,4.389127190819255e-09
11.950176920991101,0.0028751409738491445,0.002621929453629879,0.010503260889082182,0.0007111484629724857,0.002817387180039223,0.00046478591314603925,0.0005954173213546333,5.2593618968021677e-05
18.835649027493922,0.00611985969025878,0.007928247796966105,0.05304710587184364,0.007072528699661711,0.04956277050256469,0.01842469567764378,0.01461875178571511,0.002975875981270897
24.465731877355164,0.008284234596827656,0.012190212220929454,0.09935951483681944,0.01872560375568178,0.1625017043886108,0.0937069358888397,0.057492479450304584,0.018600472373325582
31.440589499628736,0.010106085033429581,0.01600466361023725,0.14639097243033566,0.03727213551121028,0.3700640983737552,0.3356680703848475,0.15455703323419387,0.0812001385575749
39.51204406021934,0.011429067989939054,0.018667210653564373,0.17915761646835146,0.05746906007804373,0.6115705988607723,0.8514606830045476,0.2959821135425759,0.24726915494056373
49.11232568598318,0.01263654425048919,0.020710645075771097,0.20060598811228558,0.0756717649095916,0.8277401376419681,1.6695948206961402,0.4567523118145003,0.5783066923320077
62.84775353798698,0.01458928773821396,0.023529611969660382,0.22489776384813837,0.09360348803833339,1.0261742932024907,2.8325846271848256,0.6307727526046567,1.1862183899374354
78.71898834188973,0.017490034628497624,0.027704336910700025,0.26070377660112326,0.11142850848847193,1.2141856321347344,3.9116957062798696,0.7731067266139718,1.88709078106972
108.79696229059786,0.023892930550371654,0.03722907403845237,0.34584809867157595,0.15231400415902122,1.6458415777143092,5.514334244170776,1.0169341658205429,2.9906661923570734
150.0,0.03337832066327669,0.05138029520835343,0.4719658418854212,0.22010045043452356,2.326487547610443,7.410729124987315,1.3441813360712649,4.137734077721304
