Time (s),C16 Equivalents (uM)
72.0,6.654989563712117
144.0,13.54657694776812
216.0,18.61869386936323
288.0,22.458895144263685
360.0,25.469758796015743
432.0,27.90099693520324
504.0,29.910826274457783
576.0,31.60329937578234
648.0,33.04959962249098
720.0,34.300216444411
