FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C16_FA (uM),C18_FA (uM),C12_FA_unsat (uM),C14_FA_unsat (uM),C16_FA_unsat (uM),C18_FA_unsat (uM)
0.3,0.3,0.3,0.3,0.3,3.0,0.3,0.3,0.3,200.0,3.0,200.0,0.007725525371664026,0.014401320595499244,0.13451988552461683,0.042388302462131454,0.333252118205952,0.21980001756974266,0.07763420335982474,0.0015292528591692913,0.26083343098818595,0.10970845685238835,0.022299987740777735,0.00300718442584772
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,10.0,500.0,0.03193759860279365,0.04929085879336876,0.4545570226921478,0.21270588573190286,2.244939764875361,3.59185847297869,3.0047364422547953,0.16016378018870167,1.305690970150555,2.04911383727932,1.1670952619960953,0.4793279534775222
2.0,2.0,2.0,2.0,2.0,20.0,2.0,2.0,2.0,900.0,20.0,900.0,0.09583758233156608,0.14365970569348938,1.2902078947629823,0.745975988393114,7.430134956801828,11.264790593383022,8.25921420835149,0.4094879364886769,2.436932954665596,4.080432722735901,2.262752621681088,0.9237157157493225
