Time (s),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C16_FA (uM)
6.402636033259625,0.0006939012419054717,0.00029947702980802755,0.00043200524374124947,2.1509989879711945e-05,2.4350219974222925e-05,4.093047506490856e-07,6.151974850991506e-09
12.343662049063026,0.003072179240509537,0.002894969901651861,0.012142878609565477,0.00209221671758024,0.008734816113080838,0.0007507936803652755,5.077113004600877e-05
19.861533327816268,0.006665961208981471,0.008962050279109499,0.06332710556427484,0.02088829274784215,0.15626903173985726,0.03269257817000758,0.004347214332343078
29.50340950611803,0.009938962046838187,0.015617736363284302,0.1405197611941726,0.07025973681520897,0.6904446010484822,0.28577942526132605,0.06986085777558786
39.267955954725316,0.011800672388851777,0.019330786483338896,0.1857200971184382,0.11588851356441214,1.2449383219860464,0.8436293523380198,0.34320638589906527
45.08440107272822,0.012653989789915563,0.020801713334016262,0.20144877708620387,0.1355923103294714,1.4800164602133083,1.2527875097373973,0.6342815440209559
54.57200089560083,0.014069808752414172,0.022954171874169545,0.22127145059862346,0.1591826823048903,1.7413546558684228,1.920485223350356,1.2444897995112643
68.33146814886062,0.016527879091944753,0.02649224850821471,0.25155521513748297,0.18620683567954363,2.019986202179967,2.7648252350696048,2.189761023358457
86.98909563833018,0.02054991579696532,0.032379148097790175,0.3031586127979351,0.22492176016540427,2.424732433700922,3.715069970709224,3.2825242520966653
109.03851966536904,0.025812335666011786,0.04021344372463916,0.3731099450892266,0.2777378174792537,2.973161584860996,4.729882487827538,4.266244152742692
150.0,0.03631076402926251,0.055874485049361454,0.5122544893493592,0.38509243790860936,4.02600971434531,6.454419856159569,5.560123939108181
