FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C12_FA_unsat (uM),C14_FA_unsat (uM)
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,10.0,500.0,0.03337829473806201,0.05138025094997238,0.47196537505244546,0.22010095136941948,2.326494867299821,7.410729817078771,1.3441862750281057,4.137730688529911
0.08,0.07,0.08,0.08,0.07,0.8,0.07,0.08,0.08,40.0,0.8,40.0,0.0016464982872982062,0.0021762837009204703,0.008696566741875165,0.0006301627289015692,0.0010263403046351718,4.8038813244553964e-05,0.0007980646835299885,2.1524036543665066e-05
0.2,0.2,0.2,0.2,0.2,2.0,0.2,0.2,0.2,80.0,2.0,80.0,0.005846735336619765,0.011072754364139072,0.09822730200785171,0.024706054347946337,0.1423510687815264,0.05709505262130051,0.11092632756528942,0.027679729228802772
0.3,0.3,0.3,0.3,0.2,3.0,0.3,0.3,0.3,100.0,3.0,100.0,0.008188229852976889,0.015080532789004914,0.14069513875329118,0.03848492394613529,0.2994842487276197,0.29761595797886614,0.3280827955803635,0.20696592958337415
0.4,0.3,0.4,0.4,0.4,4.0,0.3,0.4,0.4,200.0,4.0,200.0,0.011134071105092144,0.018753240949322902,0.17374979833114612,0.0582012756305932,0.5208020337605043,0.9552929995427164,0.5117422969477894,0.6553046860827185
2.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,700.0,20.0,700.0,0.12294987121084128,0.1845449478588678,1.6197237107432094,0.8353094109482786,6.9035006871971,9.858500278981273,3.144703732810661,4.316387980866463
0.8,0.7,0.8,0.9,0.8,8.0,0.7,0.8,0.9,400.0,8.0,400.0,0.026651481187151303,0.041367050375954145,0.379878483201858,0.15995912942128337,1.6440452289953988,4.7276901479161015,1.1979236384044762,3.236269362126172
0.6,0.6,0.6,0.6,0.5,6.0,0.6,0.6,0.6,300.0,6.0,300.0,0.01603914249304465,0.026228942466992852,0.2444908256271525,0.08906076603062041,0.8810133488301344,2.5485796423995692,0.7636814095282073,1.8356646256167681
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,600.0,10.0,700.0,0.02995305199615295,0.04599900722905868,0.4227504235954089,0.20644891384089664,2.241830606609204,8.134547039502868,1.1156453812149862,3.887623619036344
2.0,2.0,2.0,2.0,2.0,20.0,2.0,2.0,2.0,900.0,20.0,900.0,0.09773237377285326,0.14646824972825534,1.314840945316878,0.7589527694451386,7.5896830119827765,21.022074066359767,2.4851249226663104,7.675355791497607
