Time (s),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C12_FA_unsat (uM),C14_FA_unsat (uM)
5.996402935181495,0.0005839910730883984,0.00022855612066924785,0.000289409329603136,5.195987887241974e-06,5.054767152708154e-06,1.4014705081310273e-07,6.607451910856319e-07,1.0017647138244991e-08
12.790599997077834,0.0032726498772338176,0.003177809493820816,0.013916720542475898,0.0010505949795889971,0.004609995255712036,0.0008692689752452846,0.0010246059650640693,0.00010363205968713785
18.893992023001054,0.0061454504457499745,0.00797593326206757,0.05351466949583623,0.007165293307297749,0.05036335148963661,0.018818528308118976,0.014887700067090661,0.0030469147892695702
25.31603659178078,0.008554382506118622,0.012748657888473531,0.10600709356225647,0.020857461696099144,0.18507281379056004,0.11325854425743863,0.06700350266718158,0.023094182678222615
33.49788463443549,0.010500761525343882,0.016825903134840694,0.15673134709160852,0.0427599942203209,0.4348585111459664,0.44441089584074855,0.1892467745494177,0.11305356563425466
43.18634884921358,0.011903685360184919,0.019522320818026948,0.1887208642457368,0.06519611612976138,0.7044031558318408,1.1499051893639751,0.36044823518943675,0.3588917609553215
56.374245369294414,0.013603123379569775,0.02213009958340023,0.21313040914986967,0.08590809955088766,0.9431392285129047,2.3065609669409306,0.557132273021945,0.8908983549220517
72.04057941778444,0.01619877166015039,0.025828281237273164,0.24440619563962254,0.10380481568049016,1.1337811551955654,3.490588346816491,0.7173268792722263,1.600892856834938
102.02459496863507,0.022404707251695574,0.035002501120114674,0.3258358958688712,0.14222600396774118,1.5402763981222611,5.176265878804418,0.9612669475176778,2.76562057644007
150.0,0.0333783203960405,0.05138029427918067,0.4719658287741705,0.22010043974792048,2.3264874410770418,7.410729101140618,1.344181383686461,4.137734130686019
