Time (s),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM)
4.426674457787458,0.00024854055093242566,5.863339750839541e-05,3.808614698215474e-05,2.2300077159525232e-06
9.142169324545856,0.0016382484916314176,0.0011246061617764874,0.0030373883097298687,0.001404110311647693
15.686893849652034,0.0045609352161348135,0.005157653879984965,0.02821016240897562,0.03857036505252782
20.176869334357892,0.00636248500737323,0.008329525648414163,0.056693240337419605,0.12150610584546871
25.79146820986819,0.00797025054168713,0.011450427839918929,0.08950257798163051,0.29928202706153073
30.897955909565336,0.008889238835698435,0.013322088638255451,0.11040362131569885,0.5144877545613387
39.558239016305265,0.009737677764485766,0.015063359792999732,0.1294877116562234,0.940275755677659
50.952216979561356,0.010270608814048227,0.016081095316226608,0.13950422448905409,1.539002119981292
68.21223920819143,0.010784863288474143,0.01690941501057756,0.14676123639094737,2.4522649933875753
97.23451371459863,0.011627498187519889,0.018163389263139165,0.1579352747431086,3.972321917600755
150.0,0.013351521154337874,0.020717781103253268,0.18096434451167848,6.6946906408767735
