Time (s),C4_FA (uM),C6_FA (uM),C8_FA (uM)
4.437540565670231,0.00025023445036261363,5.9274790767069625e-05,0.00014884082233207878
10.619788252713818,0.0022116141742062195,0.0017657608196366707,0.047278475397646166
15.673644761130339,0.004323852985197758,0.004760289371616198,0.2881051518462732
23.841205963087155,0.006910590011289147,0.009323006902164973,1.2095216236063058
28.07750989138982,0.00778649720970643,0.010979876235967585,1.8551021301129789
34.17811245331731,0.008720405199114663,0.012697040468472176,2.8556021736502557
41.538384032062226,0.009624955954359799,0.014212799550687476,4.0709825473961025
55.23908878191606,0.011263451824092632,0.016695522267201113,6.236298139860609
71.89484683385672,0.013474066200808483,0.019972444412794492,8.731826367085247
109.65786925466867,0.019230516230936516,0.028535669262009507,14.018122010989787
150.0,0.02636179460280489,0.03914173783019902,19.129897775277705
