Time (s),C4_FA (uM),C6_FA (uM),C8_FA (uM)
9.594118094179658,4.0808157311360505e-09,2.95137211054805e-09,7.381564084321976e-08
16.622412860640342,1.0846731526747385e-08,1.2622118390239469e-08,1.180536895969189e-06
21.798707970384054,1.497171589387622e-08,2.01449608549211e-08,3.457814025203282e-06
28.265823539813514,1.843077537746729e-08,2.715500946066405e-08,8.145044197000481e-06
35.83050386435745,2.066929982050005e-08,3.1995190733508235e-08,1.5540352808247925e-05
44.82375780451327,2.1913758901098828e-08,3.478865458168745e-08,2.5825968246846233e-05
56.36809307333249,2.252596945649588e-08,3.6191157547387065e-08,4.00446899596212e-05
77.75175155390207,2.2797391143358673e-08,3.681673260939881e-08,6.723939012880422e-05
105.19766767472184,2.284107104576564e-08,3.6916139998487434e-08,0.00010244416860256915
150.0,2.284609447799817e-08,3.692733145759631e-08,0.0001599817042005327
