Time (s),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM)
5.686171612755119,0.0005062317363656256,0.00018249225825008782,0.0002071891965370625,2.703528082010226e-05
10.712492824133003,0.0022986587162919445,0.0018744400584398226,0.006423157008013457,0.004212427298029707
16.57085132344219,0.004946827973225081,0.0058024741360735745,0.03350138546540848,0.050542492878403004
23.036463659241765,0.007271258592942054,0.010065536226898432,0.07449634051868337,0.202705216718033
29.360141396238447,0.008656209662304558,0.012843297401289871,0.10503244899672826,0.4456690929253644
34.472270510314004,0.009318909636376735,0.014207857219813361,0.12026350954232827,0.6840268369041115
43.08720288062983,0.009943370109327927,0.01547160878752314,0.13367577920835091,1.1237360065615591
52.79602850091191,0.010332715146171182,0.01618895350940144,0.14047637608754482,1.6367724667242518
70.99917241218182,0.010863171749109024,0.017027533714464194,0.1477945803993974,2.5990479410447125
94.8608159004381,0.011555839134300019,0.01805721383011304,0.15697924733473362,3.848633999190204
150.0,0.013351521320609705,0.02071778162763047,0.18096434702209777,6.694690639261542
