Time (s),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C16_FA (uM),C18_FA (uM),C12_FA_unsat (uM),C14_FA_unsat (uM),C16_FA_unsat (uM),C18_FA_unsat (uM)
5.665744861289501,0.0005013460182732621,0.0001797249115899941,0.00020253805290375418,3.1894977896750976e-06,2.680030909832297e-06,3.1629000417989e-08,2.4397966290989396e-10,1.0699639581198672e-13,3.386762580958491e-07,2.21364884387576e-09,1.1110454401884283e-11,2.807357390837968e-14
11.979674937176418,0.0028889934423668917,0.002640767215288977,0.010613974522116668,0.0007215353549735791,0.002869499623568715,0.00023305990325163942,1.229930857142499e-05,3.4368914010651863e-08,0.000607544573927054,2.6782519074026568e-05,8.235643655209391e-07,1.3563451169429056e-08
19.193469613489725,0.006278329172709377,0.008225390952705051,0.05599157509867608,0.007662335045461262,0.054685809645213385,0.010786458110928166,0.001228297402471788,7.200279197049527e-06,0.01635173000493319,0.0017907804478418323,0.00011926881298317467,4.343841054008736e-06
26.028266352507565,0.008784119008338176,0.013231129190466605,0.1119408943342548,0.022830946849539988,0.20628364478821265,0.06784664740569187,0.01209466167773113,0.00011046315777914117,0.07617826810051344,0.014278113542132745,0.0014817249922945848,8.801691801066932e-05
32.2944006332382,0.010309485266255579,0.016445305549730997,0.15231919867854307,0.04010396470960759,0.40324585575004157,0.1895014915527245,0.047875795940777434,0.0006201612009573356,0.17176759690547927,0.04714107621196158,0.0067973595744736885,0.0005906263632390468
40.01588972418237,0.011542111169597368,0.01893329477254692,0.18320822674148937,0.05992458475862282,0.6412335996391538,0.4270212386743614,0.15477279164957775,0.002912776116549554,0.3135239800587262,0.125774255226514,0.025376833039241112,0.0032567391022459897
49.52204816161943,0.012689785276654453,0.020917555426838857,0.2044886894082505,0.07861896985352033,0.8630115441747134,0.7921800030065859,0.39705990855144824,0.010603111237922475,0.4785986567719489,0.27692270105792677,0.07635932038043144,0.01393573036378341
62.843389808268064,0.014380603935402598,0.02340724068803007,0.22645713416488175,0.09640824830574611,1.0592872112539737,1.3004623819399446,0.8631237891218718,0.03159979095249019,0.6508810690839234,0.5469233230613981,0.20224485040271467,0.05069539685242863
82.01919810598967,0.0175058429856957,0.027894188857384216,0.2648754451962958,0.11662929022420519,1.270083587722904,1.897140594607196,1.53042083980646,0.07121509995987811,0.8121900789567331,0.946006459987481,0.4450433104141249,0.14427934917745874
109.51518740922396,0.022966015949281774,0.03594269242845318,0.3360298158377988,0.15040594400724747,1.6222924369764264,2.5976723762474228,2.2522516520080194,0.11894860135819436,1.009300514525835,1.4433471031762375,0.7864175038224911,0.302058652050492
150.0,0.03193759488616399,0.0492908538011204,0.45455698269632117,0.21270585341360373,2.244939168466415,3.591860362419961,3.004737820185521,0.16016369561392216,1.305690817528187,2.049114502520745,1.1670948736341444,0.4793274672358333
