Time (s),C4_FA (uM),C6_FA (uM),C8_FA (uM)
5.390074881968318,0.0004366001725026317,0.000144369774589005,0.0006614558118465609
10.176096983382635,0.0020288069483444995,0.0015511504419695211,0.03769140981148842
16.49245863318194,0.00464226357612851,0.005278549786166274,0.3525702083322769
23.40161525907247,0.006804191034500071,0.009123000329719643,1.147035066970636
31.774466107950502,0.008384546610008713,0.012093083401733276,2.456993256948042
36.819914908037056,0.009059585913527114,0.013284861934882894,3.2944709208110017
46.26809919323226,0.010178050014684558,0.015071693619659888,4.833627599122676
59.347438095199706,0.011785705725609113,0.017468944217090897,6.862962612504292
80.32640821904474,0.014676741258224633,0.021760448865998986,9.955112386238332
107.59773597338898,0.018892624013113646,0.02803301590805329,13.7424683502205
150.0,0.026361794682561966,0.03914173796566647,19.129897769907835
