Time (s),C4_FA (uM),C6_FA (uM)
3.55319853150298,0.00012574709962856197,8.262186119343995e-05
8.732881604153047,0.001399208159072398,0.00961857123547482
13.698196128272718,0.0032328455839489433,0.057933717034019484
18.45045355464342,0.004820274793969652,0.15339225678741156
22.97573406742911,0.005969356615394191,0.2825832639145103
29.84619807903194,0.00710519224019973,0.5252544574341831
36.402629845952,0.007739901602027193,0.7845739944224335
50.213256921027465,0.008467164048555006,1.3601516308032893
65.62886894499687,0.009015799211101667,2.0114207794749044
103.44443135285894,0.010302715314307117,3.6063728471699275
150.0,0.011988980173503217,5.559879690335728
