Time (s),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C12_FA_unsat (uM)
6.003281655192741,0.0005857738666553761,0.00022965308101864607,0.00029147221423288976,5.246697924392647e-06,1.4227956068575445e-05,1.822599134697616e-06
12.629670217440946,0.0031928346919623566,0.003062844837319793,0.013182395616003949,0.000974927994558922,0.0142465140205836,0.0030281699892545392
19.565085086859362,0.006379917102497216,0.008402040871963428,0.05759941957168595,0.008056802187363581,0.21042037667503852,0.061369341336238004
25.803669140534574,0.008523890310311578,0.012625800606317171,0.10368761398825435,0.02062031448787934,0.7377333866933915,0.2613535450833119
31.600874466505836,0.009857063501484587,0.015317849049821482,0.13552960650921453,0.03382339454730573,1.5112824170195855,0.6187194044269717
40.27419107662021,0.011285823921435041,0.01790664432441465,0.16438302494602566,0.05127330548867014,2.8496898665955346,1.3939227144575195
53.69852701112623,0.013601248121216889,0.021316529399328116,0.1947745312453609,0.07156020332078371,4.556359152139214,2.673702137680955
73.04682715333668,0.018103454662220193,0.027904149577805987,0.25234531358466744,0.09890339605352258,6.284077321389225,4.02611070755438
103.33622820705878,0.025854717043417144,0.03961654099407648,0.35928924415426544,0.1525137538617674,8.82016921940625,5.549590711889539
150.0,0.0384990366339928,0.05854762577851032,0.5286872095553065,0.24655594962371424,12.239138234254867,7.224738104239445
