FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C12_FA_unsat (uM),C14_FA_unsat (uM)
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,10.0,500.0,0.03337831544162225,0.051380285988348255,0.47196574052051854,0.22010051863682933,2.326488544599781,7.410729197888693,1.3441821962960887,4.13773361907213
0.04,0.03,0.04,0.04,0.03,0.4,0.03,0.04,0.04,20.0,0.4,20.0,0.0002498830826219099,0.00014172490589104818,0.00017233756489719526,3.451733565748566e-06,1.5421600768304233e-06,1.8689001712862604e-08,1.2697672368322383e-06,9.065427462462161e-09
0.06,0.07,0.07,0.06,0.07,0.6,0.07,0.07,0.06,30.0,0.6,30.0,0.0008993298649924948,0.0010016576783319427,0.003089299215413726,0.00016612700107562593,0.0002094452021187412,7.389130719815444e-06,0.00013178735008579663,2.5198894247227562e-06
0.1,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,60.0,1.0,70.0,0.0029043510172675857,0.0045323990390137014,0.02368223593435787,0.002424161234057265,0.005037255622979677,0.00031041390430386546,0.003363382872788313,0.00011902917950698339
0.2,0.2,0.2,0.2,0.2,2.0,0.2,0.2,0.2,80.0,2.0,80.0,0.00584673098619946,0.011072748672520389,0.09822730712379187,0.02470608832889009,0.14235146615188113,0.05709450489717227,0.11092627669413482,0.02767965728368601
0.3,0.3,0.3,0.3,0.2,3.0,0.3,0.3,0.3,100.0,3.0,100.0,0.008188226356773224,0.015080543789743437,0.14069543914981106,0.03848489280583365,0.2994828292977862,0.2976175959372716,0.3280825487630214,0.20696637473560037
0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,7.0,0.1,7.0,2.7074401280012252e-06,8.498532905078037e-08,2.9630644561818752e-09,1.5157213046155594e-12,1.392258805752024e-14,1.467585867839359e-12,9.477617750087801e-15,5.737778499479547e-12
0.4,0.3,0.4,0.4,0.4,4.0,0.3,0.4,0.4,200.0,4.0,200.0,0.011134080032089181,0.01875327601374599,0.1737503477069949,0.058201413162741474,0.5208019219706942,0.9552896564591978,0.5117402906868738,0.655304710593679
2.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,700.0,20.0,700.0,0.12294979750137397,0.1845448190063669,1.6197222379270064,0.835309398463145,6.903501111077549,9.85851628698185,3.1447063909436803,4.316388612267884
0.5,0.5,0.5,0.5,0.5,5.0,0.5,0.5,0.5,300.0,5.0,200.0,0.011970284382990274,0.020189534672594347,0.1888016278676583,0.06262727046086383,0.5984998065677891,1.7820298075415395,0.6005484362215067,1.4163274232173095
