FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM)
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,10.0,500.0,0.03776542432300253,0.05797326560946966,0.5295182277293592,0.3968047507719295,4.153801669644096,13.07662706788944
0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,7.0,0.1,7.0,2.7074283801523687e-06,8.49851892305293e-08,2.962760814288853e-09,3.28351467655947e-12,3.190023793972014e-14,4.406835510421419e-13
0.03,0.03,0.02,0.03,0.02,0.3,0.03,0.02,0.03,10.0,0.3,10.0,9.428832426536321e-05,2.547429462395689e-05,1.0211887841346496e-05,1.4771751278841565e-07,1.671968958000625e-08,5.39608100278788e-11
0.04,0.03,0.04,0.04,0.03,0.4,0.03,0.04,0.04,20.0,0.4,20.0,0.0002499046568827082,0.00014174184486756162,0.0001723605430248988,8.756946923019036e-06,3.7989720098785476e-06,4.477821652835838e-08
0.04,0.04,0.04,0.04,0.04,0.4,0.04,0.04,0.04,20.0,0.4,20.0,0.0002770666408733437,0.0001782189740128166,0.00024074529114591716,1.360544453501962e-05,6.483046951203971e-06,8.463923877593332e-08
0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,10.0,0.2,10.0,3.290509897982248e-05,6.131120870352846e-06,1.7288040951942272e-06,1.7796268059666892e-08,1.4682002222112675e-09,1.8122415774076563e-10
0.06,0.06,0.05,0.06,0.05,0.6,0.06,0.05,0.06,30.0,0.6,30.0,0.0008061392266109,0.0007819888405678609,0.0017732021828230434,0.00017123637023312097,0.00013611116098988176,2.967188794767969e-06
0.08,0.07,0.08,0.08,0.07,0.8,0.07,0.08,0.08,40.0,0.8,40.0,0.0016544957003088124,0.002187650413424853,0.008736309824245324,0.0016522848702206234,0.0026405064645646462,0.00012006239976072894
0.09,0.09,0.08,0.09,0.1,0.9,0.09,0.08,0.09,50.0,0.9,50.0,0.002278309127337536,0.0033648441428668304,0.015434610737860986,0.0033417112094115027,0.005837478404899494,0.00028608140720575787
0.1,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,60.0,1.0,70.0,0.002931790955528992,0.004573295964438133,0.023834718885818375,0.006071584087986932,0.012558048406837292,0.0007587280252423045
