Time (s),C16 Equivalents (uM),C16 Equivalents (uM)_sigma
4.770354813177528,-0.005536870904489262,0.010014160525795728
9.81765134718367,-0.021841961497572913,0.010390133292071335
17.00966201053653,0.0524389447215271,0.01622368587720567
28.71351096831394,0.6107872004920311,0.07228655586970971
41.76909479537937,1.9088212877649897,0.21730018017267622
70.13191456093367,5.171624999134874,0.5924877308091201
125.47343169272791,12.21151907911664,1.1321244168430464
253.1579894787075,24.239335537786296,2.010105348766491
434.15536339287536,26.08137559653777,2.755393281598277
720.0,36.598328616706226,3.4148719645869567
