Time (s),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM)
6.703667441984474,0.000781005244013679,0.00036013475544532133,0.0005675762262058574,3.130899408702473e-05,0.00011486147459891815
14.106898077708719,0.003916197124735399,0.004140616736738505,0.02047681310671431,0.0043054937554291494,0.07371382117157528
19.874013858769842,0.00655323501608585,0.008718234685625858,0.060549840629318834,0.019892359987504805,0.5306587403519137
27.86832458044719,0.009115237953642379,0.013744071123564778,0.11552476998884587,0.054002205251182635,2.1893612320849485
37.565079395969605,0.011047130391674567,0.017283930531082965,0.15476980967198128,0.09095062382763401,5.05296110978596
45.369325552566636,0.01253147825631103,0.019537579782709594,0.17575379539344227,0.11313520700925117,7.083503727782319
55.60942516828567,0.0149186997257888,0.022986103976745744,0.20536594651042073,0.13856575030622015,9.079063111376383
68.99246021300625,0.018548023021425147,0.02840761127553924,0.2538898991632518,0.17497360631805278,11.224212596900331
84.02375472690635,0.022743114189094065,0.03478728618660288,0.3126776804180068,0.22055368956017313,13.517997465799834
109.8976146261176,0.030160702439441262,0.045961581178283376,0.41412294005619205,0.30112289378793283,16.975361126721694
150.0,0.042264142180127535,0.06411398860193346,0.5763003334087304,0.42825134789506586,21.218071173961977
