Time (s),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM)
5.507750281881338,0.0004640753497721053,0.00015906529221838427,0.0001689103503796045,5.902817150562837e-06,4.538940527256778e-06,9.367913686898234e-08
12.808448237790303,0.0032957479625112425,0.003212811468167909,0.014141778141253367,0.0025796320596791506,0.011387260480491115,0.0021104727957677663
19.566845442998357,0.006530606465560546,0.00870207967107638,0.06064741845842861,0.019644480015575776,0.1448548911070153,0.05569466290374817
28.663195530806455,0.00968703076634752,0.015077796337455561,0.13351043534090307,0.06488931760114706,0.6273685286838441,0.4853576175329926
34.14510947541424,0.010877332487978068,0.01750964117637931,0.16332552468391587,0.09204005955777914,0.9526847039757718,1.055710469515535
41.74561916001597,0.012117430584488331,0.019788739469816987,0.1892272652609816,0.1216760003921631,1.312748750976573,2.160691677729984
50.924506715939415,0.013551025434144492,0.022002095384864247,0.21013773063765656,0.14676952408761934,1.6004851852022466,3.6427387953903354
63.662825307647864,0.015968302120331294,0.025470459588104462,0.23966698242791074,0.17370063776622335,1.8838368540858494,5.461378793287407
80.82685138732867,0.019898580548114938,0.031247932040764113,0.29047838387718006,0.21190004795455802,2.28730655018551,7.402653146983615
112.57189823281809,0.02781595032947177,0.04311425472158719,0.39736122932432977,0.29406228390405037,3.1482546355859657,10.32539610566314
150.0,0.03776543279946708,0.057973285158634875,0.5295184945989084,0.3968048595323948,4.1538027022141035,13.076622828060687
