Time (s),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C16_FA (uM),C18_FA (uM)
5.648716018982933,0.0004972815022580722,0.00017743196524177125,0.00019871047231611997,7.384057814084935e-06,6.072893641019303e-06,6.99887547556122e-08,5.267878056794302e-10,2.2516461848702554e-13
10.449250817185517,0.0021963623977060785,0.0017530499309692132,0.005825869670444039,0.0007641277262539185,0.002425025735397924,0.00014516992240325952,5.726879024432115e-06,1.2069113202228633e-08
18.45691015385727,0.006034077214342615,0.007771445732506995,0.05144316958146405,0.01552425620133347,0.10815212460033355,0.01991030591653192,0.0020730960340250683,1.094264302306758e-05
23.96490363548798,0.008292625370656408,0.01219587121459114,0.09898242114267074,0.04032288802189997,0.35138734934166943,0.10152601407173331,0.015568522036410756,0.00011983720807793268
30.7520974402318,0.010237750544772894,0.016239533360956758,0.1482894393023234,0.07693757345732752,0.7701090580694063,0.3425709098640079,0.08084207225224643,0.000957500981905035
36.91084644788826,0.011429731278559487,0.018636477895660846,0.17771118709619954,0.1064622421058095,1.1301270954272962,0.6896111423622111,0.2281234468812112,0.003838936228807788
46.14303770360151,0.012816403253854611,0.02106634230020327,0.20417342505637381,0.13894481766834255,1.5197101967902986,1.332169393958876,0.6369989780558003,0.015934861122308477
59.823528943485364,0.014960019022464452,0.024247054575484667,0.23254424496908704,0.17030946742178107,1.8584992102428215,2.2686506061710516,1.4878885440442629,0.05298648211903401
81.09627043248267,0.0192277653776006,0.030436021090269914,0.28611940182366163,0.21251899986740483,2.295084382363537,3.4362166573004536,2.7645805579736744,0.12747243386160265
106.07033814497827,0.02508597887979473,0.03913207495864925,0.3635422570188028,0.2706358378280746,2.9004012187150576,4.598049054251227,3.8873629434656585,0.1983170244297626
150.0,0.03631076079250164,0.05587387951669523,0.5122952532137487,0.38525792328798764,4.0269454981089545,6.447268159461165,5.240345171308489,0.26878476263780854
