FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C16_FA (uM),C18_FA (uM)
0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,10.0,0.2,10.0,7.445591907371723e-11,1.389278059469375e-11,3.953660060978958e-12,4.1680040606949276e-14,3.6552957698099855e-15,8.346080913476574e-20,3.86251539716191e-21,1.4657325114136572e-22
0.03,0.03,0.02,0.03,0.02,0.3,0.03,0.02,0.03,10.0,0.3,10.0,2.1347457909923624e-10,5.778588465460651e-11,2.346155888651279e-11,3.504966496097695e-13,4.324310355850626e-14,1.6161657485075386e-18,2.2856348131813632e-19,7.231194454932297e-21
0.09,0.09,0.08,0.09,0.1,0.9,0.09,0.08,0.09,50.0,0.9,50.0,5.492306434672473e-09,8.21952617495744e-09,4.008404017228209e-08,9.517050052544057e-09,2.3672937709680347e-08,2.8301611623166933e-11,1.3399638933474205e-14,5.387973200924364e-17
0.2,0.2,0.2,0.2,0.2,2.0,0.2,0.2,0.2,80.0,2.0,80.0,1.9909940743186564e-08,4.238697547273826e-08,4.684827267542546e-07,3.135537548375147e-07,2.7850723388602886e-06,2.4747264808943045e-08,8.201339127538445e-11,2.5975084171653695e-14
0.3,0.3,0.3,0.3,0.2,3.0,0.3,0.3,0.3,100.0,3.0,100.0,2.8691788981512337e-08,6.379001630695596e-08,8.174820985090044e-07,7.109880042244801e-07,9.045475318226685e-06,1.9282619704563147e-07,1.6330209644283519e-09,1.2967890417164027e-12
0.4,0.3,0.4,0.4,0.4,4.0,0.3,0.4,0.4,200.0,4.0,200.0,3.560413918022555e-08,7.369701437151495e-08,9.693145578279003e-07,9.69351219181982e-07,1.5599930285736734e-05,7.538759232669151e-07,1.714969247866327e-08,3.3871959281781016e-11
0.5,0.5,0.5,0.5,0.5,5.0,0.5,0.5,0.5,300.0,5.0,200.0,3.654832881947119e-08,7.388464703546705e-08,9.63070849687458e-07,9.810659957055425e-07,1.6656898933987833e-05,1.2698991668769883e-06,6.064672046046918e-08,2.500452747584152e-10
0.6,0.6,0.6,0.6,0.5,6.0,0.6,0.6,0.6,300.0,6.0,300.0,4.5418152060549256e-08,8.739299037685594e-08,1.0994749987257056e-06,1.1082647432845312e-06,1.9192837335801148e-05,1.8578253887414465e-06,1.3546638664529516e-07,7.945014163416042e-10
0.6,0.7,0.7,0.7,0.7,6.0,0.7,0.7,0.7,400.0,6.0,300.0,4.025950451266081e-08,7.450342855777022e-08,8.941491844739331e-07,8.672678051487796e-07,1.4489936898408518e-05,1.5935409106299147e-06,1.8020941097863016e-07,1.7706416194666236e-09
