Time (s),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM)
5.393832607339685,0.0004380824662040155,0.00014518295531658739,0.00014744942606943385,4.89465224010248e-06,9.393077235598693e-06
12.730573379042005,0.003251432462862699,0.0031473690253157847,0.013714890306378923,0.002476327762605541,0.036332323096453574
19.06702545401133,0.006216828814262772,0.008088688109580218,0.054323285392244035,0.01699015224994068,0.43074225106554687
26.677682545993992,0.00881405691991017,0.013147046878042277,0.10867463308930848,0.04878471067275765,1.8748165236920622
35.55121080676343,0.01068399226268549,0.016676733050168452,0.14847838662245957,0.08423748488871964,4.458875545263458
44.05273101378572,0.01226383693485525,0.019147729246954157,0.1723297060531236,0.10971195485748933,6.776074548425797
53.75459855174638,0.014449529885228669,0.022302990623947843,0.19946529566347676,0.1339313776932371,8.756859184220867
66.14048368689492,0.01775571421609781,0.027208089832123736,0.24293945361362074,0.16676016457387688,10.778658080572901
83.04329398387637,0.02246866827636172,0.034370856740808337,0.30884719030603597,0.21752053258948992,13.372982451785239
114.00497048201905,0.03137375676425525,0.04778244431399975,0.4304901229074804,0.3140150561878653,17.462390846694472
150.0,0.042264142448068184,0.06411398906924524,0.5763003385788988,0.42825134737773773,21.218071022349566
